Text Title,Text Author(s),Translator(s),Original Language,Anthology / Book Title / Link,LDA Full Corpus Topics,BERTopic Full Corpus Topics,BERTopic Language-Specific Corpus Topics
Arrangement,Damodar More,Grishma Patil,Marathi,https://www.gulmohurquarterly.com/essay/the-bahujan-concern-in-contemporary-marathi-poetry-grishma-patil-issue-06,12,1,1
Experiment,Dharmaraj Nimsarkar,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,1,-1,1
Shroud,Baban Londhe,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,3,-1,-1
The Unfed Begging Bowl,Sudhakar S. Gaikwad,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,18,-1,-1
Birds in Prison,J.V. Pawar,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,20,-1,-1
How?,Bhau Panchbhai,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,4,0,-1
Winds,Bhujang Meshram,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,15,2,-1
The Sky with its Eyes Closed,Prakash Kharat,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,19,2,-1
Harvest,Ashok Chakravarti,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,15,3,0
Mute Existence,Yusoja,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,11,7,-1
Light Melted in Darkness,Meena Gajabhiye,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,15,7,-1
It is Not Binding on Us to Undertake this Journey,Manohar Wakode,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,16,7,-1
An Ultimatum,Yashwant Manohar,Charudatta Bhagwat,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,20,7,1
The Death-doomed March,Shankar Kharat,H.V. Shintre,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,8,-1,-1
A Poem,Umakant Randhir,H.V. Shintre,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,2,1,-1
Ancient Mother Mine,Shiva Ingole,H.V. Shintre,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,12,5,0
Yashodhara,Hira Bansode,"Jayant Karve, Philip Engblom",Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,18,-1,1
Labour Pains,Baban Chahande,"Kumar Ketkar, Priya Adarkar",Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,9,5,-1
Send My Boy to School,Waman Kardak,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,3,-1,0
In the Lush Green Jungle,Vaharu Sonawane,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,5,-1,-1
Habit,F.M. Shinde,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,6,-1,-1
Wall,D.S. Dudhalkar,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,11,-1,-1
Which Language should I Speak?,Arun Kamble,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,15,-1,-1
On a Desolate Night like This,B. Rangarao,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,15,-1,-1
White Paper,Sharankumar Limbale,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,17,0,0
Poetry Reading,Damodar More,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,1,1,1
No Entry for the New Sun,Vilas Rashinkar,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,15,2,-1
That Single Arm,Tryambak Sapkale,Priya Adarkar,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,2,4,0
Tathagata: Two Poems,Bhagwan Sawai,Radha Iyerr,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,1,-1,-1
The Search,W. Kapur,Shanta Gokhale,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,5,-1,-1
Caves,Jyoti Lanjewar,Shanta Gokhale,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,9,-1,-1
Exhalation,Narendra Patil,Shanta Gokhale,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,16,-1,-1
Amen,Prakashchandra Karandikar,Shanta Gokhale,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,17,-1,0
I will Belong to It,Arjun Dangle,Shanta Gokhale,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,6,7,1
My Father,Pralhad Chendwankar,"Shanta Gokhale, Nissim Ezekiel",Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,11,-1,0
Under Dadar Bridge,Prakash Jadhav,"Shanta Gokhale, Nissim Ezekiel",Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,7,5,0
In Our Colony,Keshav Meshram,V.G. Nand,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,8,-1,-1
Yesterday They have Announced,Arjun Kamble,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,12,-1,1
The Stains of Blood,B.S. Hate,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,13,-1,1
His House,Uttam Kolgaokar,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,20,-1,-1
To Dear Aana,Suresh Kadam,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,20,-1,1
You who have Made the Mistake,Baburao Bagul,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,14,0,-1
This Country is Broken,Bapurao Jagtap,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,18,0,0
Song,Bhimsen Dethe,Vilas Sarang,Marathi,Poisoned Bread: Translations from Modern Marathi Dalit Literature,18,1,-1
"You, and Me",Yalan Ati,David C. Buck and M. Kannan,Tamil,https://books.openedition.org/ifp/7101,3,-1,-1
Untitled,Yalan Ati,David C. Buck and M. Kannan,Tamil,https://books.openedition.org/ifp/7101,6,-1,-1
You’ll know…,Yalan Ati,David C. Buck and M. Kannan,Tamil,https://books.openedition.org/ifp/7101,9,-1,-1
Untitled Poem,Yalan Ati,David C. Buck and M. Kannan,Tamil,https://books.openedition.org/ifp/7101,12,1,0
At first it is ours,Azhagiya Periyavan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=425,8,-1,-1
The word for you and me,Azhagiya Periyavan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=425,12,-1,1
My literature,Babu Masilamani,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=426,19,1,0
Infection,Devadevan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=427,16,-1,-1
Opposite Shores,Ernest Lazarus Piriyakumar,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=428,11,-1,0
Don't you know?,Gnanaparai,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=429,8,-1,-1
Teablood,Gnanaparai,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=429,8,-1,1
A Bloody Question,Kateri SM,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=430,2,-1,-1
The Memory Rope,Prathiba Jeyachandran,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=431,6,-1,-1
Show me,Ragasiyan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=432,4,-1,0
The vegetarians who feast on my flesh,Ragasiyan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=432,6,-1,-1
The Eleventh Commandment,Ragasiyan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=432,19,-1,-1
Rotation,Rama Prabhu,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=434,13,-1,0
It Still Remains,Rama Prabhu,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=434,14,-1,-1
Remainder,Rama Prabhu,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=434,12,1,0
Nine poems,Ravi Kumar,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=435,12,1,0
Paper Tiger,Sathyanathan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=436,12,-1,-1
The snakes,Thalaiyari E,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=437,5,-1,-1
The discourse of the holy man,Unjai Arasan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=438,13,0,-1
Drama,Vizhi. Pa. Idhayavendhan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=439,4,-1,-1
Journey,Vizhi. Pa. Idhayavendhan,Meena Kandasamy,Tamil,https://museindia.com/Home/ViewContentData?arttype=feature&issid=9&menuid=439,9,-1,-1
2,N.D. Rajkumar,Anushiya Sivanarayanan,Tamil,https://tamilnation.org/literature/dalit.pdf,1,-1,1
5,N.D. Rajkumar,Anushiya Sivanarayanan,Tamil,https://tamilnation.org/literature/dalit.pdf,10,-1,-1
1,N.D. Rajkumar,Anushiya Sivanarayanan,Tamil,https://tamilnation.org/literature/dalit.pdf,18,-1,1
4,N.D. Rajkumar,Anushiya Sivanarayanan,Tamil,https://tamilnation.org/literature/dalit.pdf,4,6,-1
3,N.D. Rajkumar,Anushiya Sivanarayanan,Tamil,https://tamilnation.org/literature/dalit.pdf,14,6,-1
Fire and Air,Ku. Umadevi,Krupa Ge,Tamil,https://www.firstpost.com/long-reads/politics-of-dalit-identity-revealed-through-poetry-3483287.html,14,1,1
Deities,Ku. Umadevi,Krupa Ge,Tamil,https://www.firstpost.com/long-reads/politics-of-dalit-identity-revealed-through-poetry-3483287.html,20,6,0
The Five Commandments,Karikalan,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,1,-1,-1
Paraveeran,Palamalai,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,3,-1,-1
Ruin,Karikalan,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,4,-1,-1
The Rattle And The Cow That Changed Hands,Imayam,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,10,-1,1
Seeking Advice,Palamalai,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,17,0,-1
Self-Respect,Palamalai,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,18,0,-1
A Poem For Us,Karikalan,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,1,1,0
You And I,Imayam,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,15,4,-1
"Smiling, Stupidly",Palamalai,M. Vijayalakshmi,Tamil,https://www.jstor.org/stable/i23339024,9,6,-1
[Infant language],Sukirtharani,Lakshmi Holmström,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,1,-1,1
[My room needs no calendar],Sukirtharani,Lakshmi Holmström,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,4,-1,1
Nature’s fountainhead,Sukirtharani,Lakshmi Holmström,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,5,-1,-1
My body,Sukirtharani,Lakshmi Holmström,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,13,-1,-1
Portrait of My Village,Sukirtharani,Lakshmi Holmström,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,13,-1,-1
The Flag of Freedom,Sukirtharani,N. Kalyan Raman,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,15,-1,-1
Untitled poem,Sukirtharani,N. Kalyan Raman,Tamil,https://www.lyrikline.org/en/authors/sukirtharani,15,-1,-1
1,N.D. Rajkumar,N Kalyan Raman,Tamil,https://www.nkalyanraman.com/post/n-d-rajkumar,12,-1,-1
2,N.D. Rajkumar,N Kalyan Raman,Tamil,https://www.nkalyanraman.com/post/n-d-rajkumar,18,-1,0
4,N.D. Rajkumar,N Kalyan Raman,Tamil,https://www.nkalyanraman.com/post/n-d-rajkumar,13,6,-1
3,N.D. Rajkumar,N Kalyan Raman,Tamil,https://www.nkalyanraman.com/post/n-d-rajkumar,20,6,0
My Son Wants Me to Buy Him a Toy Car,N.D. Rajkumar, —,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,-1,-1
"You, My Demon Who Delights in Dancing",N.D. Rajkumar, —,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,6,0
"One Day Long Ago, When the Dying Howl",N.D. Rajkumar, —,Tamil,The Oxford India Anthology of Tamil Dalit Writing,20,6,0
The Scent of Mother,Bama,Malini Seshadri,Tamil,The Oxford India Anthology of Tamil Dalit Writing,14,5,1
lf Anyone Other than Our Own People,N.D. Rajkumar,N. Kalyan Raman,Tamil,The Oxford India Anthology of Tamil Dalit Writing,1,-1,0
Refusal to Return,S. Thenmozhi,Prabha Nair,Tamil,The Oxford India Anthology of Tamil Dalit Writing,9,-1,-1
Till Just before Committing that Murder,S. Thenmozhi,Prabha Nair,Tamil,The Oxford India Anthology of Tamil Dalit Writing,11,-1,0
Those Who are Protecting this Country,Ku. Umadevi,Prabha Nair,Tamil,The Oxford India Anthology of Tamil Dalit Writing,13,0,-1
She Who has Absorbed the Ways,Ku. Umadevi,Prabha Nair,Tamil,The Oxford India Anthology of Tamil Dalit Writing,6,2,-1
Born to Who-knows!,Kabilan,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,3,-1,-1
Sensing the Senses,Bharathi Nivethan,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,6,-1,-1
Dream-teller,Prathiba Jeyachandran,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,-1,-1
The Lone Woman's Speech,Bharathi Nivethan,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,20,-1,0
Rickshaw-pedalling for Fifteen Years,Kapilan,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,3,0,-1
If I Go as Helper in a Construction Job,Kabilan,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,4,0,-1
The Full Moon Will Shine in Village after Village,Prathiba Jeyachandran,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,6,2,0
Clutching the End of My Saree,A. Vincent Raj,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,3,4,-1
The Ras Have Guts,Bharathi Nivethan,Ravi Shanker,Tamil,The Oxford India Anthology of Tamil Dalit Writing,4,6,0
The City of Burning Slums,Indran,Subashree Krishnawamy,Tamil,The Oxford India Anthology of Tamil Dalit Writing,5,-1,-1
Wall-posters,Indran,Subashree Krishnawamy,Tamil,The Oxford India Anthology of Tamil Dalit Writing,13,-1,-1
River,Indran,Subashree Krishnawamy,Tamil,The Oxford India Anthology of Tamil Dalit Writing,18,-1,-1
"Pond, Where...",Ravikumar,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,3,-1,-1
Christmas at Keelvenmani,Anonymous,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,5,-1,0
"You, Friend of My Childhood",Ravikumar,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,6,-1,1
Urn,S. Thenmozhi,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,14,-1,-1
A Lesson in Action and Reaction,Thai Kandasamy,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,-1,-1
He-goat's Whiskers and Cut-throat Sickle,Yazhan Aathi,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,-1,0
A Possibility,Thai Kandasamy,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,-1,1
The Strategy of Pawns,P. Mathiyalagan,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,17,-1,-1
Nirvana's End,Ku. Umadevi,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,17,-1,0
Manhunt,P. Mathiyalagan,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,19,-1,0
Have You Heard the Rain Crying?,Ravikumar,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,19,-1,1
Conflict in Friendship,Thai Kandasamy,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,6,1,1
Missing,Yazhan Aathi,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,12,1,0
Resurrection,Yazhan Aathi,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,1,0
In the Middle of Town,Mathivannan,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,4,-1
Strokes of Gentle Sympathy,Mathivannan,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,4,-1
What is Possible,Mathivannan,Vasantha Surya,Tamil,The Oxford India Anthology of Tamil Dalit Writing,15,7,-1